ID,authorID,name,link,content,blurb,fbShares,twitterShares,emailShares,views,date
258,179,"Pandemic Unemployment Payment to remain open to new applications until 31 March 2020",https://www.thejournal.ie/pup-to-remain-open-new-applications-31-march-5277321-Nov2020/,"THE PANDEMIC UNEMPLOYMENT Payment (PUP) will remain open to new applicants until 31 March 2021. 
Following a government decision in September, the PUP was due to close to new applications on 31 December. However, Social Protection Minister Heather Humphreys secured government approval today to extend it until the end of March next year. 
The extension of the closing date will ensure workers can still access the PUP in January in the event that their employment ceases after Christmas.
To date, over €4.3 billion has been paid out under the PUP to hundreds of thousands of people who lost their jobs as a result of the pandemic. 
“By keeping the PUP scheme open to new applicants until 31 March 2021, we are providing certainty to employees who may be returning to work in the run-up to the Christmas period,” Humphreys said. 
“I have listened to the retail and hospitality sector and I know they have had concerns that closing PUP to new entrants on 31 December, as originally planned, would act as a disincentive to take up work,” she said. 
“Workers can be reassured that if they have to reapply for PUP in January, February or March, they will have an entitlement to the payment.” 
The Minister has also secured government approval to extend the waiver on waiting days for jobseeker payments until the end of March 2021. 
Ordinarily, when a person makes an application for jobseeker’s benefit or allowance, payment is not made for the first three days of unemployment. These are called waiting days. 
These waiting days will continue to be waived on applications for jobseekers’ payments until the end of March 2021. 
“In line with keeping the PUP scheme open for applications, I am also extending the waiver on the waiting days for jobseekers’ payments. This will ensure that individuals who get temporary work between now and the end of March, and who lose their jobs can claim a jobseekers’ payment and receive their income support immediately,” Humphreys said. 
#OPEN JOURNALISM No news is bad news Support The Journal Your contributions will help us continue to deliver the stories that are important to you
SUPPORT US NOW
Taxation
Elsewhere, FLAC chief executive Eilis Barry has written to members of the Oireachtas to express concern at the provisions of Section 3 of the Finance Bill 2020 which proposes to retrospectively impose a tax liability on claims for the PUP. 
In her correspondence with TDs and senators, Barry enclosed a legal opinion, prepared by FLAC’s legal team, in relation to the legislation which is at report stage in the Dáil on 2 December before consideration of the Bill begins in the Seanad on 9 December. 
FLAC’s managing solicitor said: “FLAC’s analysis suggests that the retrospective provisions of Section 3 of the 2020 Bill may create a tax liability which is unexpected and which disproportionately affects those who have suffered the most financial hardship as a result of the Covid-19 pandemic. 
“The proposed provisions may not accord with the constitutional protection of citizens’ property rights. The introduction of retrospective legislation which interferes with those rights is only constitutionally permissible in certain limited circumstances and these circumstances do not seem to apply to the current situation.” 
Barry added that it is FLAC’s hope that its “significant concerns in relation to this legislation will be addressed as it progresses through the Oireachtas in the coming weeks”. ","Following a decision in September, the PUP was due to close to new applications on 31 December.",1,0,0,738,"8 minutes ago"
259,180,"McEntee wants image-based abuse to be illegal by the end of the year",https://www.thejournal.ie/image-based-abuse-helen-mcentee-5277204-Nov2020/,"THE DISTRIBUTION OR publication of intimate images without consent and with intent to cause harm is due to carry a maximum penalty of an unlimited fine and/or seven years imprisonment under proposals approved by Cabinet today.
The taking, distribution or publication of intimate images without consent, and without a requirement that the person intended to cause harm to the victim shall will carry a maximum penalty of a €5,000 fine and/or a 12 months jail sentence.
Justice Minister Helen McEntee today said she hopes the legislation will be passed by the end of the year.
When the practice is illegal, it puts an obligation on online platforms to remove such content, McEntee said, adding that there has been “a grey area” around that to date.
The move comes a few days after the gardaí confirmed they are investigating the uploading of images and videos of Irish women and girls, without their consent, to a number of online forums.
The Victims Alliance, an advocacy group, said tens of thousands of images have been shared on various online platforms. The group is working to identify the victims but said many of them are Irish.
Some of the images and videos in question were taken by the victims and privately shared but were later publicly shared without their consent or knowledge.
Some images or footage were taken of people surreptitiously and without their knowledge, and others were taken from online platforms such as OnlyFans, Tinder, WhatsApp and Instagram.
It is understood the fact that the person may have consented to the taking of an image will be irrelevant if it is subsequently published or distributed without their consent.
The Bill does not specify the types of technology that may be used to commit the offences, and is intentionally neutral to cover all forms of online and offline communications that cause harm to a victim.
It will also be an aggravating factor for the purposes of sentencing if the perpetrator of the offence is or was in an intimate relationship with the victim of the offence.
RELATED READS
23.11.20
Sharing intimate images with intent to harm could carry seven year prison sentence
20.11.20
McEntee says anyone who shares intimate images without consent 'will face serious criminal sanctions'
19.11.20
Gardaí looking into allegations that large number of images of women were shared online without their consent
The new measures will be contained in amendments to the Harassment, Harmful Communications and other Related Offences Bill.
The legislation was first proposed by Labour in May 2017, but it was not passed prior to the dissolution of the last government.
Speaking to TheJournal.ie today, Labour’s Brendan Howlin said he has for years tried to get the government see the issue as a priority.
Asked why he felt it fell on deaf ears under the last Dáil, he said: “They just never embraced it as a priority, that’s it.”
When McEntee took office, Howlin said he sought a meeting with her, and told her that his party’s Bill needed to be progressed. She agreed, said the Wexford TD.
“The day has come, but is has been a long time coming,” he said.
He said the legislation around dealing with harrassment of this kind has not been updated for decades, stating that the current legislation mentions technology should has telephones and texting.
#OPEN JOURNALISM No news is bad news Support The Journal Your contributions will help us continue to deliver the stories that are important to you
SUPPORT US NOW
Howlin said it is a “hidden harm going on online”, but that “events over the last week has jolted the realisation” that it needs to be dealt with urgently.
He pointed out that when the UK brought in similar legislation, the Crown Prosecution saw around 200 prosecutions per year.
With reporting by Órla Ryan","People could face up to seven years in prison if they publish intimate images without consent.",1,0,0,14466,"28 minutes ago"
260,181,"Key witness failed to give evidence in Aaron Brady trial after receiving threats, High Court judge hears",https://www.thejournal.ie/key-witness-aaron-brady-trial-threats-5277286-Nov2020/,"A KEY WITNESS failed to give evidence in the trial of Aaron Brady for the murder of Detective Garda Adrian Donohoe after receiving threats “backed by criminal or paramilitary elements”, a High Court judge has heard.
Father-of-two Colin Hoey (30) was today jailed for 21 days and fined €2,000 for contempt of court. Hoey, with an address at O’Neill Estate, Cregganduff, Co Armagh, pleaded guilty to the charge after failing to appear to answer a witness order during the trial of Aaron Brady.
Hoey had initially provided an alibi for Aaron Brady but later retracted it.
Justice Michael White said this morning that he was sure threats issued to Hoey and his family in advance of the Brady trial had been taken “quite seriously” by them. He noted that Hoey was a “very decent young man” from a “very decent family” who had been caught up in a “very difficult situation”.
A bench warrant was issued for Hoey by trial judge Mr Justice White on 5 March this year and he was arrested by gardaí on 5 October after presenting himself at the Criminal Courts of Justice. The High Court has heard that the offence is punishable by imprisonment, fine or both.
Aaron Brady was found guilty of the murder of Detective Garda Adrian Donohoe by an 11 to one majority jury verdict at the Central Criminal Court on 11 August.
Last month, the 29-year-old with a last address at New Road, Crossmaglen, Co Armagh was sentenced to the mandatory term for murder of life imprisonment with a minimum time served of 40 years. Brady was also sentenced to 14 years for the robbery of €7,000 – a sentence that will run concurrently with the life sentence – at Lordship Credit Union in Bellurgen, Co Louth on 25 January 2013.
During hearings at Brady’s trial, Detective Inspector Mark Phillips of the National Bureau of Criminal Investigation said that Hoey was a witness of “some significance” who had provided an alibi for Aaron Brady but had later withdrawn that alibi.
At today’s contempt hearing in the High Court, Remy Farrell SC, for Hoey, told Mr Justice White that the charge of contempt against his client was admitted.
Taking the witness stand, Detective Inspector Phillips told prosecution counsel Brendan Grehan SC that Hoey had “significant evidence” to give at Brady’s trial if he had attended.
#OPEN JOURNALISM No news is bad news Support The Journal Your contributions will help us continue to deliver the stories that are important to you
SUPPORT US NOW
Under cross-examination, Detective Inspector Phillips agreed with Farrell that “certain elements” had made contact with Hoey and his father in advance of Brady’s trial and “these elements” had intimated that it might not be in Hoey’s best interest to attend Brady’s trial.
Farrell put it to the witness that whatever was said had certainly caused Hoey and his family to take the view that these were “implicit threats” backed by criminal or paramilitary elements. “I’m not party to the conversation that took place but ultimately he did not appear to give evidence,” replied Detective Inspector Phillips.
At a brief hearing last month, Detective Garda Padraic O’Reilly testified that Hoey was informed on 3 March 2020 that he was required to attend the Criminal Courts of Justice the following day to give evidence in the Brady trial and if he did not show up a bench warrant would be issued. However, the witness did not attend court on 4 March and a bench warrant was issued by trial judge Mr Justice White on 5 March. Attempts were made by gardaí to execute the warrant after this date, the High Court was told.
However, solicitor Danny McNamee, for Hoey, made contact with gardaí in early October and informed them that his client wished to present himself for the execution of the warrant. Hoey presented himself at the Criminal Courts of Justice on 5 October and the warrant was executed.
Comments are closed for legal reasons.","Colin Hoey had initially provided an alibi for Aaron Brady but later retracted it.",0,0,0,18125,"46 minutes ago"
261,182,"Fifth person arrested over alleged corrupt practices at Kildare and Wicklow Education Training Board",https://www.thejournal.ie/fiftn-person-arrested-over-alleged-corrupt-practices-at-statutory-body-5277216-Nov2020/,"A FIFTH PERSON has been arrested by gardaí as part of an ongoing investigation into alleged corrupt practices at the Kildare and Wicklow Education Training Board (KWETB).
Gardaí attached to the Garda National Economic Crime Bureau (GNECB), supported by the East Region Armed Support Unit, this morning arrested a man in his 40s.
The operation was conducted as part of Operation Lakefront by detectives attached to the Anti-Corruption Unit, the GNECB, in Co Kildare.
It is the fifth arrest as part of this ongoing investigation.
The man was arrested for offences contrary to the Prevention of Corruption Acts and is currently being detained at Tullamore Garda Station under Section 50 of the Criminal Justice Act 2007.
A fourth arrest in relation to this investigation occurred on 5 November.
#OPEN JOURNALISM No news is bad news Support The Journal Your contributions will help us continue to deliver the stories that are important to you
SUPPORT US NOW
A man aged in his 40s was arrested and detained under Section 4 of the Criminal Justice Act 1984 at Naas Garda Station. He was subsequently released without charge.
In recent months, two other men and one woman were also arrested as part of the invetigation and released without charge.
Files are being prepared for the Director of Public Prosecutions.","The man is the fifth person to be arrested as part on an ongoing investigation.",5,0,2,34424,"1 hour ago"
262,179,"Retailers call on government to move forward re-opening of sector to Monday",https://www.thejournal.ie/retail-excellence-reopening-lockdown-5277136-Nov2020/,"RETAIL EXCELLENCE, THE largest body for the industry in Ireland, has set out three “key demands” for the government in advance of the anticipated reopening of non-essential retail next week. 
Cabinet is meeting today to discuss the Level 5 exit plan as all indications are the country will be moving back to Level 3 restrictions, with some modifications, come next Tuesday. 
Yesterday, Micheál Martin said that “no decisions have been made as yet” as to exactly what restrictions will follow Level 5.
However, it appears there will be good news for retailers, with all non-essential shops set to reopen. 
It is understood that retailers will also be given the green light to extend opening hours. While such a move usually requires planning permission, it is believed local authorities have been doing a lot of work with businesses to facilitate the longer opening hours. 
This is to mitigate crowds of shoppers descending on retailers in the weeks up to Christmas.
In a statement today, Retail Excellence set out three “key demands” for government in advance of the lifting of Level 5 restrictions. Current regulations are in place until 2 December, just after midnight.
The key demands are: 
The reopening of non-essential retail to be brought forward to Monday, 30 November at the latest.
Easing of national restrictions to enable shoppers to cross county lines and to accommodate indoor dining in coffee shops, cafes and restaurants. 
Retailers to be allowed to extend trading hours as needed for December. 
“This is the most critical week of the year for retailers, and we simply cannot afford to get the big decisions wrong around reopening non-essential retail,” Retail Excellence managing director Duncan Graham said. 
He also called on the government to ease restrictions from Monday so that shoppers could travel across county boundaries and also ensure coffee shops and cafes could facilitate indoor dining. 
RELATED READ
24.11.20
Lockdown lifting announcement due on Friday, but won't clash with the Late Late Toy Show
“If shoppers cannot leave their own county, this will have a hugely negative effect on retailers who depend on this business,” Graham said. 
“At the same time, any level of restrictions above two would mean coffee shops and cafes could only facilitate outdoor dining for 15 people maximum, which would be devastating for businesses and act as a deterrent for shoppers in the coming weeks, especially given the bad December weather,” he said. 
Graham has also called on the government and local authorities to allow for longer trading hours through December to adequately deal with shopper demand. 
As noted above, it is understood that retailers will be given the green light to extend opening hours. 
“Retailers have done everything they can to mitigate the risks posed by Covid-19, and an extension of opening hours would mean they could effectively deal with customer demand for Christmas. It makes sense in every respect,” Graham said. 
He also called on the Irish people to support Irish businesses this Christmas. 
#OPEN JOURNALISM No news is bad news Support The Journal Your contributions will help us continue to deliver the stories that are important to you
SUPPORT US NOW
“Now more than ever before, we need to think before we click and shop local. Irish businesses deserve our support after a year when many have been closed for up to 20 weeks, so now is the time to give something back,” he said. 
With reporting by Christina Finn","Cabinet is meeting today to discuss the Level 5 exit plan.",0,0,0,26751,"1 hour ago"
263,179,"Pandemic Unemployment Payment to remain open to new applications until 31 March 2021",https://www.thejournal.ie/pup-to-remain-open-new-applications-31-march-5277321-Nov2020/,"THE PANDEMIC UNEMPLOYMENT Payment (PUP) will remain open to new applicants until 31 March 2021. 
Following a government decision in September, the PUP was due to close to new applications on 31 December. However, Social Protection Minister Heather Humphreys secured government approval today to extend it until the end of March next year. 
The extension of the closing date will ensure workers can still access the PUP in January in the event that their employment ceases after Christmas.
To date, over €4.3 billion has been paid out under the PUP to hundreds of thousands of people who lost their jobs as a result of the pandemic. 
“By keeping the PUP scheme open to new applicants until 31 March 2021, we are providing certainty to employees who may be returning to work in the run-up to the Christmas period,” Humphreys said. 
“I have listened to the retail and hospitality sector and I know they have had concerns that closing PUP to new entrants on 31 December, as originally planned, would act as a disincentive to take up work,” she said. 
“Workers can be reassured that if they have to reapply for PUP in January, February or March, they will have an entitlement to the payment.” 
The Minister has also secured government approval to extend the waiver on waiting days for jobseeker payments until the end of March 2021. 
Ordinarily, when a person makes an application for jobseeker’s benefit or allowance, payment is not made for the first three days of unemployment. These are called waiting days. 
These waiting days will continue to be waived on applications for jobseekers’ payments until the end of March 2021. 
“In line with keeping the PUP scheme open for applications, I am also extending the waiver on the waiting days for jobseekers’ payments. This will ensure that individuals who get temporary work between now and the end of March, and who lose their jobs can claim a jobseekers’ payment and receive their income support immediately,” Humphreys said. 
#OPEN JOURNALISM No news is bad news Support The Journal Your contributions will help us continue to deliver the stories that are important to you
SUPPORT US NOW
Taxation
Elsewhere, FLAC chief executive Eilis Barry has written to members of the Oireachtas to express concern at the provisions of Section 3 of the Finance Bill 2020 which proposes to retrospectively impose a tax liability on claims for the PUP. 
In her correspondence with TDs and senators, Barry enclosed a legal opinion, prepared by FLAC’s legal team, in relation to the legislation which is at report stage in the Dáil on 2 December before consideration of the Bill begins in the Seanad on 9 December. 
FLAC’s managing solicitor said: “FLAC’s analysis suggests that the retrospective provisions of Section 3 of the 2020 Bill may create a tax liability which is unexpected and which disproportionately affects those who have suffered the most financial hardship as a result of the Covid-19 pandemic. 
“The proposed provisions may not accord with the constitutional protection of citizens’ property rights. The introduction of retrospective legislation which interferes with those rights is only constitutionally permissible in certain limited circumstances and these circumstances do not seem to apply to the current situation.” 
Barry added that it is FLAC’s hope that its “significant concerns in relation to this legislation will be addressed as it progresses through the Oireachtas in the coming weeks”. ","Following a decision in September, the PUP was due to close to new applications on 31 December.",21,0,1,18757,"20 minutes ago"
264,182,"Judge orders arrest of footballer Anthony Stokes, who is accused of headbutting man in Temple Bar",https://www.thejournal.ie/anthony-stokes-arrest-warrant-5277389-Nov2020/,"A JUDGE HAS ordered the arrest of footballer Anthony Stokes who is accused of headbutting a man in Dublin’s Temple Bar.
The 32-year-old former Celtic striker and Republic of Ireland star, who is from Dublin, claims he acted in self-defence.
He was charged in April with accused of assault causing harm to a named man at Fitzgerald’s pub on Aston Quay, in Dublin 2, on 16 March 2019, which he denies.
The charge is under section three of the Non-Fatal Offences Against the Person Act.
He was due to to appear again at Dublin District Court today to have a hearing date set. However, neither the player nor his lawyer were there.
Judge Colin Daly was told the defendant has remained in regular contact with Garda Donal O’Neill, the prosecuting officer. A long adjournment was required for the hearing because the alleged injured party lived in the UK and was not willing to travel.
Judge Daly noted the accused and his lawyer were not before the court and he acceded to an application to issue a bench warrant for his arrest.
Stokes, who has an address at Wyckham Point, in Dundrum, Dublin 14, “made no reply to the charge”, the court heard on 28 April last. Disclosure of evidence to the defence has been ordered.
The Director of Public Prosecutions has directed summary disposal meaning the case should stay in the district court and not go to the circuit court which has tougher sentencing powers.
Jurisdiction was accepted.
In an outline of the evidence given earlier, Garda O’Neill said it was alleged Stokes headbutted the complainant once, “knocking him to the ground and temporarily losing consciousness”.
However, the man did not suffer lasting injuries, the court was told.
#OPEN JOURNALISM No news is bad news Support The Journal Your contributions will help us continue to deliver the stories that are important to you
SUPPORT US NOW
On conviction, the district court can impose a 12-month sentence for the offence.
Stokes denies the charge. On the night in question, he had been at the bar with his girlfriend “and says he acted at all times in self-defence, proportionately”, his solicitor had said at a previous hearing.
The footballer had been ordered to abide by bail conditions.
He had to continue living at his current residence in Ireland and notify gardai if he obtains work outside the State, and provide the address as well as name of the employer.
He has given gardai his mobile phone number and had to remain contactable.
Comments are closed for legal reasons.","The former Celtic striker and Republic of Ireland star claims he acted in self-defence.",4,0,0,57723,"1 minute ago"
265,183,"Fine Gael on top as Sipo reveals political donations list for 2019",https://www.thejournal.ie/sipo-donations-5277047-Nov2020/,"FINE GAEL RECEIVED the largest share of disclosed political donations last year, according to the 2019 report of the Standards in Public Office Commission (Sipo). 
Each year, parties must disclose to Sipo any donations that exceeded €1,500 or aggregated donations from the same donor that exceeded that same value. 
The maximum amount that may be accepted from the same donor in the same year is €2,500.
The report by the state’s ethics watchdog for last year shows that donations disclosed by Irish political parties last year totalled €175,576.
Of that figure, Fine Gael disclosed the largest amount at €79,456, followed by Sinn Féin at €45,620 and the Labour Party at €21,800. 
Fianna Fáil’s declared donations totalled just €2,500, despite the party winning the largest number of seats in last year’s local council elections.
Donation statements submitted to Sipo by the parties show that elected TDs from most parties disclosed donations, but the single declared donation to Fianna Fail is from the estate of Michael Fahy. 
According to Sipo, there were a total of 22 parties registered to contest elections in 2019.
Disclosed donations by party, 2019.
Source: sipo.ie
The Sipo report also contains details of ‘accounting units’ within parties, which are subsidiaries that receive donations above €100. Within those units, Sipo states that the balance held by them collectively is €950,112. 
The report states that Fine Gael has the largest number of such units at 39 while Sinn Féin have just eight. 
Accounting units by political party
Source: Sipo
In its report, Sipo reaffirms that parties are precluded from accepting donations from people who reside outside of Ireland, other than from Irish citizens. 
Sinn Féin faced controversy last year when Englishman William Hampton left an estate worth millions of euro to the party when he died in Wales. 
#OPEN JOURNALISM No news is bad news Support The Journal Your contributions will help us continue to deliver the stories that are important to you
SUPPORT US NOW
His estate has been estimated at up to €4.6 million and Sinn Féin says the donation is in line with rules laid down by the Northern Ireland Electoral Commission. 
Other parties have said that Sinn Féin is exploiting a “loophole” and it should return the money above the €2,500 Sipo limit. 
Covid-19 deadline 
Deadlines for submitting donation returns fall in March and this year occurred during the Covid-19 pandemic.
Sipo says that this meant that some parties submitted returns after the legal deadline but that it remains satisfied that parties “made best efforts” to submit them in time.
As a result, Sipo says it will not recommendation any action against the parties for late submissions. ","Donations disclosed by Irish political parties last year totalled €175,576.",21,0,0,18948,"2 hours ago"
266,184,"'I was just so down. It was the most upsetting part of my career, to be totally honest'",https://www.the42.ie/denise-osullivan-ireland-germany-5276417-Nov2020/,"Updated 3 hours ago
ANYTHING CAN HAPPEN, says Ireland’s midfield maestro Denise O’Sullivan as they look to produce the spectacular against Germany in their final Euro 2022 qualifier.
A miracle some may say; something the Cork woman believes in.
Denise O'Sullivan, dejected late in the game against Ukraine.
Source: Aleksandar Djorovic/INPHO
But it’s been a difficult few weeks since the Girls In Green’s bitterly disappointing, and quite simply heartbreaking, 1-0 defeat to Ukraine, a hammer blow towards their qualification hopes.
When asked whether it was the toughest night of her colourful career, O’Sullivan doesn’t mince her words.
“Yeah, honestly it was,” she says, later adding that there were plenty of tears in the hours and days that followed.
“It was absolutely devastating. I didn’t get over it for honestly a few weeks later. I went back to Brighton and was just so down.
“It was the most upsetting part of my career, losing that game, to be totally honest. Look, those things make you stronger. You have to take the positives out of it. We weren’t bad on the night. Things just didn’t go our way.
“It’s football. Those nights happen a lot in football. We need to pick ourselves up again. We’ve come back into this camp and we’re very positive. We’re still second in the table and that’s a positive. Here we are for a huge game and we’re just excited to get out there and play.”
But the Knocknaheeny native, on loan at Brighton & Hove Albion from US side North Carolina Courage, says it’s been set aside — and Vera Pauw’s side are ready to face Germany, where they will indeed need a miracle of some sort, to put it plainly.
“After a few weeks you just have to [park it] really because you have another big game coming up. You can’t think about the past any more. I’m past it now and I’ve moved forward, I think we all have and we’ll just move on to the next game.
In action for Brighton.
Source: PA
“Look, we have to be realistic. Germany are one of the best teams in the world. We’ve seen last time against them at home how good they were and how tough the game was. We’ll have a game-plan, work hard and go out and do our best and hopefully get three points.”
Thankfully, 26-year-old O’Sullivan is a firm believer in miracles — unsurprising considering she was part of the U17 side that beat the same opposition 1-0 in 2010, the senior outfit that went so close against them in 2014, and one that secured a famous 0-0 draw against Netherlands three years ago.
BE PART
OF THE TEAM
Access exclusive podcasts, interviews and analysis with a monthly or annual membership.
Become a Member
The odds are, again, certainly stacked against them next Tuesday night at Tallaght Stadium, but Ireland will cling on to any bit of hope as they face the world’s second-ranked nation and eight-time European champions, who boast a 100% record in this campaign, scoring 37 goals and conceding zero.
“Anything can happen,” O’Sullivan assures, unsure if the visitors will mix and match their squad, though Ireland will give it all and play whatever is in front of them. “It’s 11 versus 11 and being realistic, Germany are out of this world. But as I said anything can happen.”
Likewise, a Ukrainian slip-up against group minnows Montenegro is unlikely, but it can’t be written off. Anything can happen in sport, after all.
Away from the international scene, O’Sullivan has been plying her trade at Brighton in the Women’s Super League [WSL] alongside Irish team-mates Megan Connolly and Rianna Jarrett; a temporary move closer to home to ensure availability for Ireland amidst Covid-19 restrictions, made even more interesting by the arrival of several US World Cup winners to the league.
“I’ve been really enjoying it. It’s a challenge and I love challenging myself. Having the two Irish girls helps me settle in and the club have welcomed me with open arms. It’s a tough league as you can see with all the players coming in from around the world.
Ireland's Denise O’Sullivan, Katie McCabe, Megan Campbell and Megan Connolly.
Source: Laszlo Geczo/INPHO
“It made life easier having the two girls there, Megan has been my friend since I was 15 when we played with each other and against each other. I have got to know Rianna very well since she came into the Irish set-up.
“Living with them is great, Rianna cooks me dinner every night so it’s going really well!”
But having sealed her security Stateside as one of Courage’s protected players ahead of a recent Draft, O’Sullivan remains under contract there and will return ahead of the new season (the NSWL recently announced plans for a Challenge Cup in April ahead of a May 2021 season start).
“I’m very excited to be going back, they’re a world-class team. The environment is world-class and you’re only become a better player being in that arena. Paul [Riley] is one of the best coaches in the world and I’ve learned so much.
“It will be a long season with the pandemic, we will have a tournament and the regular season so there is a lot to look forward to.”
The42 is on Instagram! Tap the button below on your phone to follow us!
Follow us: the42.ie","Having put the Ukraine heartbreak behind her, Ireland star Denise O’Sullivan feels ‘anything can happen’ against Germany.",0,0,0,25053,"7 hours ago"
267,185,"Holly Cairns: The greyhound industry is inherently cruel – so why should the taxpayer fund it?",https://www.thejournal.ie/readme/greyhound-racing-animal-welfare-5276198-Nov2020/,"IN THE SPACE of two days last week, the Government took a somewhat contradictory approach to animal welfare in this country.
On one hand, the Taoiseach pledged State support for Dublin Zoo and Fota Wildlife Park, both of which are facing an urgent financial crisis due to Covid-19 restrictions.
At the same time, the Government was pushing through a motion, without debate, to increase funding for an industry where serious animal welfare issues have been exposed and continue to cause concern.
In 2021, greyhound racing in Ireland will benefit to the tune of €19.2m from the public purse – an increase of €2.4m. This is despite a significant drop in the numbers attending race meetings and declining advertising revenues. 
Phenomenal financial support
The industry has received approximately €280m in taxpayer funding since 2000. As turnover from racing activities has steadily declined over the last decade (€32.9m in 2010 to €22.7m in 2017), State funding has increased from €11.9m in 2010 to €16.8m in 2020.
To put it bluntly, the greyhound industry has become a financial basket case and is being kept alive by generous State subventions each year. The Irish Greyhound Board/Greyhound Racing Ireland has not delivered a dividend to the taxpayer in the past 25 years – and is unlikely to do so in the future.
Attendance at greyhound racing meetings fell by 55 per cent between 2008 and 2018 and the combined loss for tracks between 2019 and 2022 is predicted to be €30 million. A 2019 Red C poll found that only 16 per cent of the Irish population agree that the Government should continue to fund the industry.
This is hardly surprising. In the same year, a harrowing ‘RTÉ Investigates’ programme laid bare the horrific treatment of greyhounds by some of those involved in the sport. This is an industry where 16,000 greyhounds are bred each year – 1,000 per cent more than are needed.
Of these, 6,000 are culled for spurious reasons, ranging from a decline in performance to not being fast enough to compete on the track.
While it must be acknowledged that many breeders treat their dogs well, some of those of operating in the shadowy fringes of the industry have carried out acts of unspeakable cruelty to animals.
There have been cases where dogs had their ears cut off to avoid their registered owners being traced; of exported greyhounds enduring 15-hour journeys to the UK in the most appalling conditions; and blatant breaches of regulations by some unscrupulous operators of knackeries, with healthy dogs shot in the head and disposed of for as little as €20.
RELATED READS
16.12.19
Twelve Irish-trained greyhounds discovered in cages with no food or water at Dublin Port
20.11.19
Irish Greyhound Board to spend estimated €350k on traceability database
02.10.19
Dublin hotel cancels conference on greyhound welfare after staff receive threatening phone calls
The overarching appalling standards of care make it difficult to understand the justification for continued State funding. In contributing millions of euros of public money to greyhound racing every year, the Government is propping up an inherently cruel sport which the Irish public has been increasingly rejecting. It is unconscionable and cannot be allowed to continue.
An unwelcome industry in 2020
It is true that improvements have been made in funding for animal care relating to the greyhound industry. However, this was only committed to after significant public pressure in the wake of the 2019 RTÉ investigation. 
Tomorrow, the Social Democrats will bring a Private Members’ Motion on this issue before the Dáil. We are calling on the Government to waive the increased funding of €2.4m due to be given to the greyhound industry.
Instead, it should incrementally refocus greyhound racing funding to the welfare of dogs impacted by the industry. There are many cash-strapped animal welfare organisations dedicated to the care and rehoming of greyhounds that could benefit instead.
We also believe that the Government should work towards the gradual phasing out of State support for Irish greyhound racing by 2025. This would allow for a reasonable transition period for a sunset industry that no longer enjoys significant public support.
In the middle of a pandemic, when there isn’t money available for things like domestic violence refuge spaces or disability support services, the Government not only continues to fund greyhound racing but increases the level of funding for the sector.
Our motion seeks to demonstrate our clear commitment to animal welfare. The taxpayer should not be complicit in the Government’s efforts to paper over the cracks of a failing industry where greyhounds are treated as livestock and cruelty is endemic. 
#OPEN JOURNALISM No news is bad news Support The Journal Your contributions will help us continue to deliver the stories that are important to you
SUPPORT US NOW
Holly Cairns is a Social Democrats TD for Cork South-West. She is the party’s spokesperson for Agriculture, Food and the Marine.","The Social Democrats TD says it defies logic that the greyhound industry should receive an increase of €2.4m on top of its already high funding.",142,0,0,30773,"3 hours ago"
