ID,commenterID,articleID,comment,likes,commentID,replyID,date
5329,3224,258,"March 2021 even",48,9278030,9278030,"4mins ago"
5330,3225,258,"So more lockdowns on the horizon then",3,9278026,9278026,"6mins ago"
5331,3224,258,"March 2021 even",45,9278032,9278032,"4mins ago"
5332,3224,258,"March 2021 even",49,9278031,9278031,"4mins ago"
5333,3226,258,"We will be paying this off for the rest of our lives. It’ll definitely be greater the bank bailout (net €30bn).",1,9278040,9278040,"3mins ago"
5334,3227,258,"Bloody well why ? How long are they going to keep crippling the country/economy with unnecessary lockdowns.",1,9278029,9278029,"4mins ago"
5335,3228,258,"only another two lockdowns to go",1,9278044,9278044,"2mins ago"
5336,3229,258,"Hopefully it won’t be needed around late Feb/March once the vulnerable start getting vaccinated en masse, This extension just gives comfort to those who will be signing off and returning to work in December.",18,9278048,9278048,"1min ago"
5337,3230,258,"I presume the headline should read 2021 not 2020",46,9278038,9278038,"3mins ago"
5338,3231,258,"What about the EWSS?",2,9278041,9278041,"2mins ago"
5339,3232,262,"Agree with all the above points, let’s get this show back on the road",302,9277855,9277855,"1hour ago"
5340,3233,262,"Cannot say I agree with the “demand” to allow indoor dining at coffee shops.
The science shows that this is high risk scenario for cv19 transmission.
I for one, would rather leave the pubs and coffee shops closed for a few more weeks yet if it means there is less risk in the meeting family over Xmas itself. (this will cause another level 5 shutdown in January if the restrictions are not strict until closer to Xmas)
I know this will cause hardship for many, but keeping these businesses closed is the lesser evil when it comes to preventing transmission",130,9277881,9277881,"1hour ago"
5341,3234,262,"@Kevin McDonnell: there are more important things that people getting to see their family at Christmas.",66,9277906,9277881,"1hour ago"
5342,3225,262,"@Sam Harms: Like spending time on your own???",84,9277939,9277881,"49mins ago"
5343,3235,262,"@Sam Harms: no there isnt, sorry Xmas is about spending time with family…",44,9277963,9277881,"41mins ago"
5344,3227,262,"@Kevin McDonnell: pubs have been closed since March except for a 2 week break. How long do you want them to go on losing their livelihoods. They gave as much right if not more now to be given a fair go.",67,9277970,9277881,"34mins ago"
5345,3227,262,"@Franny Ando: *have",6,9278035,9277881,"3mins ago"
5346,3229,262,"Will the checkpoints that are one sided and biased against Dubliners such as the one at the N11 Bray junction be switched or removed? Im sure a lot of people from surrounding counties will be visiting Grafton Street, Dundrum, Liffey Valley etc.",101,9277857,9277857,"1hour ago"
5347,3236,262,"@David Lee: the checkpoints that stop 1 in every 1000 cars. What an utter waste of taxpayer money.",110,9277933,9277857,"53mins ago"
5348,3237,262,"Dublin bus need to allow more passengers on the buses otherwise ppl just won’t go into the city center",68,9277876,9277876,"1hour ago"
5349,3238,262,"@sandra clifford: there’s only so much space on the buses for 2m social distancing. And less ppl in the city centre can only be a good thing for smaller local shops who need and deserve the support.",41,9277924,9277876,"56mins ago"
5350,3239,262,"@sandra clifford: how do you propose they do that? Triple deckers?",23,9277968,9277876,"35mins ago"
5351,3240,262,"Please people, the government has no choice, if they don’t relax the restrictions, people will ignore the restrictions (even more). Shops have to open to make money and a lot of shops make 30-40% of their annual income during Christmas.
What the rest of us have to do, is to be smart. Still limit our direct interactions with people – keep it to essential contacts, wash hands, wear the mask, keep the 2M distance where possible.
Protect our elderly and vulnerable.",59,9277983,9277983,"29mins ago"
5352,3241,262,"I think we should allow them open on Monday and I’m someone who support all the restrictions.
I’m going to go out on a limb here and say that if January gets us back into level 5 its something that we will probably accept as its a month where we can easily comply with restrictions and let’s face it we’ d probably need a break from the excesses of December.
I know we are putting lives at risk here but if we learn exactly how to use the vaccines and what they can do we might be able to limit deaths, typing that reads rather crass.
But people’s livelihoods are also under pressure and 40% of annual profits in retail and hospitality are derived from this time of year, the alternative is a situation worse that the financial crisis, add in Brexit and we have a perfect storm.
I don’t expect pragmatism from our Government but they must be made aware that they are responsible and if the make a mess of it , its their jobs on the line too.",38,9277992,9277992,"25mins ago"
5353,3242,262,"That would involve common sense can’t see that happening",20,9278039,9278039,"3mins ago"
5354,3243,263,"@GOOПΞɌΛDΛM: what do you suggest then?people to go hungry and cold in their homes.",3,9278072,9278040,"3mins ago"
5355,3244,263,"@Franny Ando: They don’t expect general rollout of the vaccine to the ‘healthy’ population until mid 2021. So draw an inference from that unfortunately….",3,9278056,9278029,"9mins ago"
5356,3245,263,"Anyone got a DeLorean and a flux capacitor?",7,9278055,9278055,"10mins ago"
5357,3246,263,"I’m not sure about taxing the PUP but the way they have set up how they are going to tax the TWSS is all wrong. It forces employees who were working to take a pay cut.",7,9278062,9278062,"7mins ago"
5358,3247,263,"@wee: When?",54,9278077,9278032,"32mins ago"
5359,3248,263,"Under level5 lockdowns if people stay home they will average 1500 steps per day walking around the house. People should do 10k steps per day. When attending work people typically put up 3000 to 5000 from that activity if the work is non laborious. Now that would be reduced to 1500. This is a real problem. You are short 8.5k steps. To achieve this you need to walk 3km twice a day or walk 6km in one go. Nephet should be giving this advice but now you know it. Get out and start walking. Get 6km to 7km of walking per day to ensure your health is not another victim of this coronavirus. Do it. Start walking today.",73,9278081,9278081,"30mins ago"
5360,3249,263,"@David Lee: unlikely. None of the vaccines have met EMA approval, and that won’t happen till the end of December for the first lot. The first batches will be few in number, so vulnerable people won’t even start to be vaccinated by then. At that point you can expect some of our frontline workers to be vaccinated, but that’s about it.",7,9278099,9278048,"14mins ago"
