,ID,commenterID,articleID,comment,likes,commentID,replyID,date,text,word_count,question_mark,exclamation_mark,start_digit,start_question,longest_word_len,avg_word_len,ratio_stopwords
0,5329,3224,258,"['march', '2021', 'even']",48,9278030,9278030,4mins ago,"['march', '2021', 'even']",3,0,0,0,0,5,3.0,0.0
1,5330,3225,258,"['so', 'more', 'lockdowns', 'on', 'the', 'horizon', 'then']",3,9278026,9278026,6mins ago,"['lockdown', 'horizon']",7,0,0,0,0,9,7.0,0.7143
2,5331,3224,258,"['march', '2021', 'even']",45,9278032,9278032,4mins ago,"['march', '2021', 'even']",3,0,0,0,0,5,3.0,0.0
3,5332,3224,258,"['march', '2021', 'even']",49,9278031,9278031,4mins ago,"['march', '2021', 'even']",3,0,0,0,0,5,3.0,0.0
4,5333,3226,258,"['we', 'will', 'be', 'paying', 'this', 'off', 'for', 'the', 'rest', 'of', 'our', 'lives', 'it', '’', 'll', 'definitely', 'be', 'greater', 'the', 'bank', 'bailout', 'net', '30bn']",1,9278040,9278040,3mins ago,"['pay', 'rest', 'life', 'definitely', 'great', 'bank', 'bailout', 'net']",21,0,0,0,0,10,23.0,0.5652
5,5334,3227,258,"['bloody', 'well', 'why', 'how', 'long', 'are', 'they', 'going', 'to', 'keep', 'crippling', 'the', 'countryeconomy', 'with', 'unnecessary', 'lockdowns']",1,9278029,9278029,4mins ago,"['bloody', 'well', 'long', 'go', 'keep', 'cripple', 'unnecessary', 'lockdown']",17,1,0,0,0,14,16.0,0.4375
6,5335,3228,258,"['only', 'another', 'two', 'lockdowns', 'to', 'go']",1,9278044,9278044,2mins ago,"['another', 'two', 'lockdown', 'go']",6,0,0,0,0,9,6.0,0.3333
7,5336,3229,258,"['hopefully', 'it', 'won', '’', 't', 'be', 'needed', 'around', 'late', 'febmarch', 'once', 'the', 'vulnerable', 'start', 'getting', 'vaccinated', 'en', 'masse', 'this', 'extension', 'just', 'gives', 'comfort', 'to', 'those', 'who', 'will', 'be', 'signing', 'off', 'and', 'returning', 'to', 'work', 'in', 'december']",18,9278048,9278048,1min ago,"['hopefully', 'win', 'need', 'around', 'late', 'vulnerable', 'start', 'get', 'vaccinate', 'en', 'masse', 'extension', 'give', 'comfort', 'sign', 'return', 'work', 'december']",34,0,0,0,0,10,36.0,0.4722
8,5337,3230,258,"['i', 'presume', 'the', 'headline', 'should', 'read', '2021', 'not', '2020']",46,9278038,9278038,3mins ago,"['presume', 'headline', 'read', '2021', '2020']",9,0,0,0,0,8,9.0,0.4444
9,5338,3231,258,"['what', 'about', 'the', 'ewss']",2,9278041,9278041,2mins ago,['ewss'],4,1,0,0,1,5,4.0,0.75
